trade_date,total_open_interest_weighted_gamma,near_spot_gamma_mass_share,front_expiry_gamma_mass_share,largest_gamma_mass_strike_distance,call_put_gamma_mass_imbalance,gamma_mass_concentration_index
2024-01-02,3505930261806.3354,0.22500630923024206,0.10818599936899446,0.022325189461871897,-0.11902104783757197,0.009172376380715417
2024-01-03,3514416613697.324,0.2461641404001316,0.11094222100808529,0.02918641281236356,-0.17134406622419004,0.008912221250040389
2024-01-04,3752513115572.452,0.20513620666544594,0.11423935761063876,0.02820263149569202,-0.11985313744707611,0.009816141343922695
2024-01-05,3766940028043.824,0.215659801784342,0.16867493187039487,0.02677581205790225,-0.11028596385816729,0.01736816564788063
2024-01-08,3393567823776.408,0.3010293542407606,0.06542693144769184,0.029475286199547757,0.1666797214874867,0.007029588178905744
2024-01-09,3999445024713.0093,0.2932955087138582,0.12983430815411623,0.026049509817319905,0.02811859213406772,0.010920956954849162
2024-01-10,3681889363919.651,0.30783021429333,0.11128998700950676,0.02328214624705338,0.17182615077821578,0.008916580947406055
2024-01-11,3973040324512.0557,0.23123571799012632,0.12412974569414643,0.02676883629046345,0.0632428769966472,0.011959920204805238
2024-01-12,4119437739911.7725,0.22999127260215266,0.21125214224323544,0.028519372897045203,0.14708430088733038,0.020783706274873352
2024-01-16,4114958307108.3613,0.26921505138481294,0.11979551939031356,0.02830434777902502,-0.09513868834171156,0.013929032583936487
2024-01-17,4135231007234.2373,0.1909370798733468,0.12982341459748858,0.027066912321343173,-0.20377589455438566,0.017175240327324592
2024-01-18,4106417365783.2715,0.26837579324137584,0.10310939488961572,0.02401211395551739,0.159737283662288,0.013830474514976591
2024-01-19,3311589958153.8896,0.2475384466820248,0.2620515427010829,0.02214128377538116,0.3815293976452566,0.02003105230128584
2024-01-22,2980713058660.197,0.2747360216952266,0.09728547621757204,0.020238990983637795,0.19513224451788716,0.005858222948681478
2024-01-23,3678865505586.365,0.31347575967996716,0.19182720785671536,0.025711738202834677,0.22217727656229017,0.015843640187125883
2024-01-24,3322041432047.8735,0.2795284830246067,0.10812166418123947,0.026768163581739834,0.22317544225075436,0.00624800292321233
2024-01-25,4370198370572.394,0.2446002708662359,0.23007167721928104,0.02788979501724609,0.16295906091827836,0.023411258347666282
2024-01-26,4740899987427.876,0.21671503764801595,0.32606016493912304,0.028291096329338572,0.10527141055603047,0.029318225829094942
2024-01-29,3524206651836.237,0.31593237849238626,0.15984676354041732,0.02506450061472476,0.25886976632169845,0.010955055282985685
2024-01-30,3328399962580.9087,0.2614833221603995,0.16264777879981107,0.029422794235820726,0.2018240962345726,0.009108235690000854
2024-01-31,3852231126774.422,0.30072739556453504,0.1557307386848658,0.01922708188279265,-0.18572842779872786,0.009683212191753731
