trade_date,realized_variance,open_to_close_abs_return,close_price,total_volume,realized_volatility,close_to_close_abs_return,abnormal_volume_score,pinning_distance
2024-01-02,0.00020772756140224872,0.007874014048793065,459.7363,82032052.0,0.014412756898048643,NaN,0.0,NaN
2024-01-03,0.00004325218363610576,0.0057618046237692955,456.6714,74911047.0,0.006576639235666326,0.006666647815280258,0.9131924067924084,0.007288829561036655
2024-01-04,0.00003751411433766934,0.0034086530040287055,455.1632,60746885.0,0.006124876679384601,0.003302593505965068,0.7741262328457016,0.010626518136791337
2024-01-05,0.00007318580261945421,0.0034058442887880958,455.7957,66239422.0,0.008554870111197143,0.0013896114624381006,0.9128498351123039,0.00922408877486117
2024-01-08,0.000036510096109838886,0.013919302676821177,461.4001,61498985.0,0.006042358489020565,0.01229585974593439,0.866398248302608,0.003034459680437887
2024-01-09,0.00004159925443472295,0.00018998913418311059,460.9914,49858244.0,0.006449748400885336,0.0008857822094100465,0.7216871180689951,0.002150582418674185
2024-01-10,0.0000284900794129219,0.006689102470960107,464.1926,52992175.0,0.005337609897034618,0.006944164251220464,0.80436073939105,0.012510755233926548
2024-01-11,0.0000838007190282043,0.006270201207083548,462.6163,64962372.0,0.009154273265978261,0.003395788730798377,1.0144057534193949,0.01596074327687973
2024-01-12,0.00005342669696817225,0.0009871378506817186,462.8012,48491231.0,0.007309356809471833,0.0003996832796422378,0.7558431817343917,0.015554842986578266
2024-01-16,0.00006929190917624844,0.0010543105372540218,461.9255,64161585.0,0.00832417618604078,0.0018921731404326625,1.0279881517180671,0.017480091486614186
2024-01-17,0.00003611402631845695,0.0005926056730086726,459.5611,56750867.0,0.006009494680791135,0.00511857431555518,0.9067169070376673,0.02271493387930351
2024-01-18,0.00003969217109279404,0.008674578279849188,463.8617,66676508.0,0.006300172306595593,0.009358059243917749,1.0744116386197382,0.01323303907177509
2024-01-19,0.00011268046755070158,0.0100453399636935,469.6024,73868054.0,0.010615105630689766,0.012375887037019861,1.1829592481142264,0.000846673696727298
2024-01-22,0.00002790950034180166,0.00026880320948896586,470.478,56344216.0,0.005282944287213491,0.0018645560584868992,0.8898010396822066,0.009611501494225004
2024-01-23,0.000016211619590196082,0.005420448350093032,472.8424,38973655.0,0.004026365555956896,0.005025527229753468,0.6203641831583696,0.015137390386310538
2024-01-24,0.00004283564128187288,0.002855131975704861,472.3559,66887178.0,0.006544894291115241,0.0010288840425477508,1.0923241134661075,0.01618292478192816
2024-01-25,0.00003563170996517507,0.002367204162420311,473.7862,58349784.0,0.005969230265718945,0.0030280134110740597,0.947434318679903,0.013115198374287795
2024-01-26,0.00002840869133073876,0.0011106040278103801,473.6013,53750507.0,0.005329980424986452,0.00039026041704048886,0.8754621740386862,0.013510731495036055
2024-01-29,0.00002425428888973376,0.007361034397083355,478.0187,46568764.0,0.004924864352419644,0.00932725480272123,0.7637738030326297,0.004144816928710061
2024-01-30,0.00008006145201773091,0.003949924929245174,475.9949,47677142.0,0.008947706522776152,0.004233725584375736,0.7917966733964533,0.008414165782028395
2024-01-31,0.0000723270598169872,0.010487533526006065,470.9451,94658538.0,0.008504531722381145,0.010608937196595947,1.5885761079499547,0.019227081882792655
